table,field,description,type
drug,atc_concept_id,The ATC 5th level OMOP concept identifier.,int
drug,atc_concept_name,"The ATC 5th level OMOP concept name. In the ade_nichd_enrichment table, this ATC concept is from any level in the hierarchy.",character
drug,atc_concept_code,The ATC 5th level OMOP concept code.,character
drug,ndrugreports,The number of reports of the drug in Pediatric FAERS.,int
drug,atc4_concept_name,The ATC 4th level OMOP concept name.,character
drug,atc4_concept_code,The ATC 4th level OMOP concept code.,character
drug,atc3_concept_name,The ATC 3rd level OMOP concept name.,character
drug,atc3_concept_code,The ATC 3rd level OMOP concept code.,character
drug,atc2_concept_name,The ATC 2nd level OMOP concept name.,character
drug,atc2_concept_code,The ATC 2nd level OMOP concept code.,character
drug,atc1_concept_name,The ATC 1st level OMOP concept name.,character
drug,atc1_concept_code,The ATC 1st level OMOP concept code.,character
event,meddra_concept_name_4,The MedDRA system organ class concept name.,character
event,meddra_concept_id,The MedDRA preferred term OMOP concept identifier.,int
event,neventreports,The number of adverse event reports in Pediatric FAERS.,int
event,meddra_concept_class_id_1,The MedDRA preferred term concept class identifier.,character
event,meddra_concept_class_id_2,The MedDRA higher level concept class identifier.,character
event,meddra_concept_class_id_3,The MedDRA higher level greater term concept class identifier.,character
event,meddra_concept_class_id_4,The MedDRA system organ class concept class identifier.,character
event,meddra_concept_code_1,The MedDRA preferred term concept code identifier.,character
event,meddra_concept_code_2,The MedDRA higher level concept code identifier.,character
event,meddra_concept_code_3,The MedDRA higher level greater term concept code identifier.,character
event,meddra_concept_code_4,The MedDRA system organ class concept code identifier.,character
event,meddra_concept_id_2,The MedDRA higher level concept identifier.,int
event,meddra_concept_id_3,The MedDRA higher level greater term concept identifier.,int
event,meddra_concept_id_4,The MedDRA system organ class concept identifier.,int
event,meddra_concept_name_1,The MedDRA preferred term concept name. Same as 'meddra_concept_name',character
event,meddra_concept_name_2,The MedDRA higher level concept name.,character
event,meddra_concept_name_3,The MedDRA higher level greater term concept name.,character
event,relationship_id_12,The relationship identifier between columns *1 and *2; should be 'Is a' denoting 1-to-1 mapping.,character
event,relationship_id_23,The relationship identifier between columns *2 and *3; should be 'Is a' denoting 1-to-1 mapping.,character
event,relationship_id_34,The relationship identifier between columns *3 and *4; should be 'Is a' denoting 1-to-1 mapping.,character
event,soc_category,The customized category to represent meddra_concept_name_4 events more broadly as used in the manuscript. Developed in consultation with https://admin.new.meddra.org/sites/default/files/guidance/file/intguide_21_0_english.pdf.,character
event,pediatric_adverse_event,Whether this event concept (meddra concept id) was defined by MedDRA 19th edition vocabulary as a pediatric-specific adverse event. One (1) indicates yes and zero (0) indicates no. The list of events were curated from this site: https://www.meddra.org/paediatric-and-gender-adverse-event-term-lists.,int
ade_raw,safetyreportid,The unique identifier for the report.,character
ade_raw,ade,Primary key. This is the unique identifier of an adverse drug event (drug-event). It is a combination of the atc_concept_id and the meddra_concept_id.,character
ade_raw,atc_concept_id,The ATC 5th level OMOP concept identifier.,int
ade_raw,meddra_concept_id,"The MedDRA preferred term OMOP concept identifier. In the event table, this would be equivalent in 'meddra_concept_id_1'.",int
ade_raw,nichd,This is the NICHD-defined child development stage. Defined in https://doi.org/10.1542/peds.2012-0055I.,character
ade_raw,sex,The reported sex.,character
ade_raw,reporter_qualification,The type of reporter.,character
ade_raw,receive_date,The date the report was first submitted.,date
ade_raw,XA,GAM covariate name for the ATC 1st level concept name 'ALIMENTARY TRACT AND METABOLISM',float
ade_raw,XB,GAM covariate name for the ATC 1st level concept name 'BLOOD AND BLOOD FORMING ORGANS',float
ade_raw,XC,GAM covariate name for the ATC 1st level concept name 'CARDIOVASCULAR SYSTEM',float
ade_raw,XD,GAM covariate name for the ATC 1st level concept name 'DERMATOLOGICALS',float
ade_raw,XG,GAM covariate name for the ATC 1st level concept name 'GENITO URINARY SYSTEM AND SEX HORMONES',float
ade_raw,XH,"GAM covariate name for the ATC 1st level concept name 'SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS'",float
ade_raw,XJ,GAM covariate name for the ATC 1st level concept name 'ANTIINFECTIVES FOR SYSTEMIC USE',float
ade_raw,XL,GAM covariate name for the ATC 1st level concept name 'ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS',float
ade_raw,XM,GAM covariate name for the ATC 1st level concept name 'MUSCULO-SKELETAL SYSTEM',float
ade_raw,XN,GAM covariate name for the ATC 1st level concept name 'NERVOUS SYSTEM',float
ade_raw,XP,"GAM covariate name for the ATC 1st level concept name 'ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS'",float
ade_raw,XR,GAM covariate name for the ATC 1st level concept name 'RESPIRATORY SYSTEM',float
ade_raw,XS,GAM covariate name for the ATC 1st level concept name 'SENSORY ORGANS',float
ade_raw,XV,GAM covariate name for the ATC 1st level concept name 'VARIOUS',float
ade_raw,polypharmacy,The number of drugs reported.,int
atc_raw_map,atc1_concept_name,The ATC 1st level OMOP concept name.,character
atc_raw_map,raw_code,GAM covariate name for the ATC 1st level concept names - seen in the ade_raw table,character
ade_null,nichd,This is the NICHD-defined child development stage. Defined in https://doi.org/10.1542/peds.2012-0055I.,character
ade_null,null_99,"The gam risk coefficient value at the 99th percentile of the risk coefficient distribution from random drug and event GAMs. If a risk coefficient at at least one stage for a drug-event GAM is higher than this value, then the drug-event GAM is significant by the null model.",float
ade_null_distribution,nichd,This is the NICHD-defined child development stage. Defined in https://doi.org/10.1542/peds.2012-0055I.,character
ade_null_distribution,gam_score,The gam risk score coefficient from calculating the association between a random drug and event.,float
ade_null_distribution,ade,The random drug and event concept identifier pair. These areATC 5th level and MedDRA PT OMOP concept identifiers that were randomly paired together.,character
ade,ade,Primary key. This is the unique identifier of an adverse drug event (drug-event). It is a combination of the atc_concept_id and the meddra_concept_id.,character
ade,atc_concept_id,The ATC 5th level OMOP concept identifier.,int
ade,meddra_concept_id,"The MedDRA preferred term OMOP concept identifier. In the event table, this would be equivalent in 'meddra_concept_id_1'.",int
ade,cluster_id,The identifier for the cluster group assigned to a drug-event by our data-driven clustering approach. See the manuscript's methods for details.,character
ade,gt_null_statistic,The boolean value indicating whether at least one stage's score was greater than nominal significance (the 90 percent confidence interval was above 0).,float
ade,gt_null_99,"The boolean value indicating whether at least one stage's score was greater than significance by the null model, as referenced in the paper (the score was greater than the 99th percentile of the null distribution of randomly co-reported drugs and events).",float
ade,max_score_nichd,The child development stage that had the highest risk score for the drug-event.,float
ade,cluster_name,"The dynamics name given to the identfier of a cluster group. This is descriptive of the risk trend across stages, from birth through adolescence.",character
ade,ade_nreports,The number of reports of the drug and event co-occurring,character
ade_nichd,atc_concept_id,The ATC 5th level OMOP concept identifier.,int
ade_nichd,meddra_concept_id,The MedDRA preferred term OMOP concept identifier.,int
ade_nichd,ade,Primary key. This is the unique identifier of an adverse drug event (drug-event). It is a combination of the atc_concept_id and the meddra_concept_id.,character
ade_nichd,nichd,This is the NICHD-defined child development stage. Defined in https://doi.org/10.1542/peds.2012-0055I.,character
ade_nichd,gam_score,"The risk coefficient from a drug-event GAM, given to each nichd stage. It is the log odds risk of event occurrence given the data as specified in the manuscript.",float
ade_nichd,norm,"The normalized risk coefficient, between 0 and 1, across stages for a drug-event. This preserves the risk trend but constrains the range of the risk scores between 0 and 1.",float
ade_nichd,gam_score_se,The standard deviation of the risk coefficient.,float
ade_nichd,gam_score_90mse,The 90 percent lower bounded risk score using the formula gam_score - (1.645*gam_score_se).,float
ade_nichd,gam_score_90pse,The 90 percent upper bounded risk score using the formula gam_score + (1.645*gam_score_se).,float
ade_nichd,D,The number of reports of the drug at the child development stage,int
ade_nichd,E,The number of reports of the event at the child development stage,int
ade_nichd,DE,The number of reports of the drug & event at the child development stage,int
ade_nichd,ade_name,The named identifier of an adverse drug event (drug-event). It is a combination of the atc_concept_name and the meddra_concept_name.,character
ade_nichd_enrichment,category,"The category on enrichment. Either a MedDRA adverse event class, ATC drug class, or a combination of ATC and MedDRA classes. These categories are included in the manuscript results associated to this database.",character
ade_nichd_enrichment,atc_concept_name,The ATC concept identifier.,character
ade_nichd_enrichment,meddra_concept_name,The MedDRA concept identifier.,character
ade_nichd_enrichment,nichd,This is the NICHD-defined child development stage. Defined in https://doi.org/10.1542/peds.2012-0055I.,character
ade_nichd_enrichment,atc_concept_class_id,The ATC concept class identifier.,character
ade_nichd_enrichment,meddra_concept_class_id,The MedDRA concept class identifier.,character
ade_nichd_enrichment,a,"The number of significant, by the null model, drug-events in both the stage and ATC/MedDRA concept category.",int
ade_nichd_enrichment,b,"The number of significant, by the null model, drug-events in the stage and not in the ATC/MedDRA concept category.",int
ade_nichd_enrichment,c,"The number of significant, by the null model, drug-events not in the stage but in the ATC/MedDRA concept category.",int
ade_nichd_enrichment,d,"The number of significant, by the null model, drug-events not in the stage and not in the ATC/MedDRA concept category.",int
ade_nichd_enrichment,lwr,The 95% lower bound of the odds ratio.,float
ade_nichd_enrichment,odds_ratio,The odds ratio for the category and stage enrichment.,float
ade_nichd_enrichment,upr,The 95% lower bound of the odds ratio.,float
ade_nichd_enrichment,pvalue,The p-value from the fisher exact test.,float
ade_nichd_enrichment,fdr,The FDR corrected pvalue.,float
drug_gene,drugbank_id,The identifier for the drug on drugbank's website.,character
drug_gene,id,The identifier of the gene/protein on drugbank's website.,character
drug_gene,type,The action of the drug onto the gene/protein. This was scraped off of drugbank webpages - see R script associated with the manuscript for scraping details.,character
drug_gene,action,The action value.,character
drug_gene,uniprot_id,The protein identifier on uniprot's website.,character
drug_gene,entrez_id,The gene identifier from joining the uniprot identifier to the entrez identifer from the microarray platform database package within Bioconductor.,character
drug_gene,gene_symbol,The gene symbol identifier from joining the uniprot identifier to the entrez identifer from the microarray platform database package within Bioconductor.,character
drug_gene,atc_concept_id,The ATC 5th level OMOP concept identifier.,int
sider,ade,Primary key. This is the unique identifier of an adverse drug event (drug-event). It is a combination of the atc_concept_id and the meddra_concept_id.,character
sider,stitch_id,The STITCH (http://stitch.embl.de/) concept identifier for the ATC 5th level drug.,character
sider,meddra_concept_name,The MedDRA preferred term concept name.,character
sider,medgen_id,The identifier of the adverse event concept on NCBI's human medical genetiics database,character
sider,meddra_concept_id,The MedDRA preferred term OMOP concept identifier.,int
sider,soc,The MedDRA system organ class concept name. Abbreviated to SOC,character
sider,atc_concept_code,The ATC 5th level concept code.,character
sider,atc_concept_id,The ATC 5th level OMOP concept identifier.,int
sider,atc_concept_name,The ATC 5th level concept name.,character
sider,ade_name,The named identifier of an adverse drug event (drug-event). It is a combination of the atc_concept_name and the meddra_concept_name.,character
ryan,condition_name,,character
ryan,meddra_concept_id,,int
ryan,atc_concept_id,,int
ryan,control,,character
grip,ATC_concept_class_id,,character
grip,ATC_concept_id,,int
grip,ATC_concept_name,,character
grip,Control,,character
grip,MedDRA_concept_class_id,,character
grip,MedDRA_concept_id,,int
grip,MedDRA_concept_name,,character
grip,ade,,character
grip,ade_name,,character
gene,gene_symbol,The gene symbol identifier from joining the uniprot identifier to the entrez identifer from the microarray platform database package within Bioconductor.,character
gene,probe,The probe identifier from the affymetrix microarrays used in the manuscript.,character
gene_expression,sample,The GEO sample identifier used in the GSE datasets.,character
gene_expression,nichd,This is the NICHD-defined child development stage. Defined in https://doi.org/10.1542/peds.2012-0055I.,character
gene_expression,probe,The probe identifier on the affymetrix gene chip.,character
gene_expression,gene_symbol,The gene symbol identifier from joining the uniprot identifier to the entrez identifer from the microarray platform database package within Bioconductor.,character
gene_expression,actual,The sample value from the stage-association GLM. See the manuscript for details.,float
gene_expression,prediction,The sample predicted value from the stage-association GLM. See the manuscript for details.,float
gene_expression,residual,The sample residual (actual - predicted) value from the stage-association GLM. See the manuscript for details.,float
gene_expression,fdr,The F test FDR corrected pvalue.,float
gene_expression,f_statistic,"The F test, as summarized from the glm, statistic.",float
gene_expression,f_pvalue,"The F test, as summarized from the glm, pvalue.",float
cyp_gene_expression_substrate_risk_information,gene_symbol,The gene symbol identifier from joining the uniprot identifier to the entrez identifer from the microarray platform database package within Bioconductor.,character
cyp_gene_expression_substrate_risk_information,type,The pharmacological action this gene has on drugs.,character
cyp_gene_expression_substrate_risk_information,soc,The MedDRA system organ class concept name. These concepts are a subset of what is represented in the event table.,character
cyp_gene_expression_substrate_risk_information,auroc,The normalized W statistic from the Mann Whitney test evaluating the rank difference between the mutual information distributions of drug substrates versus drug non-substrates. See the manuscript methods for details.,float
cyp_gene_expression_substrate_risk_information,wt_pvalue,The Mann Whitney p-value from evaluating the rank difference between the mutual information distributions of drug substrates versus drug non-substrates. See the manuscript methods for details.,float
cyp_gene_expression_substrate_risk_information,ttest_statistic,The Student's t-test statistic from evaluating the average difference between the mutual information distributions of drug substrates versus drug non-substrates. See the manuscript methods for details.,float
cyp_gene_expression_substrate_risk_information,ttest_pvalue,The Student's t-test p-value from evaluating the average difference between the mutual information distributions of drug substrates versus drug non-substrates. See the manuscript methods for details.,float
,,"The ade_nichd_covariate_summary table fields are the covariates and their categories in constructing the drug-event GAMs. These can be used for describing the report covariates for a drug-event at a particular stage. This covariate summary does not include the controls that made up each drug-event GAM, only the cases.",
