ATC_concept_class_id,ATC_concept_id,ATC_concept_name,Control,MedDRA_concept_class_id,MedDRA_concept_id,MedDRA_concept_name,ade,ade_name
ATC 5th,21602320,isotretinoin,N,PT,36315573,Blood creatinine abnormal,21602320_36315573,isotretinoin and Blood creatinine abnormal
ATC 5th,21602320,isotretinoin,N,PT,36315575,Blood creatinine increased,21602320_36315575,isotretinoin and Blood creatinine increased
ATC 5th,21602320,isotretinoin,N,PT,36315595,Creatinine renal clearance decreased,21602320_36315595,isotretinoin and Creatinine renal clearance decreased
ATC 5th,21602320,isotretinoin,N,PT,36315611,Inulin renal clearance decreased,21602320_36315611,isotretinoin and Inulin renal clearance decreased
ATC 5th,21602320,isotretinoin,N,PT,37019353,Renal cortical necrosis,21602320_37019353,isotretinoin and Renal cortical necrosis
ATC 5th,21602320,isotretinoin,N,PT,35506541,Renal papillary necrosis,21602320_35506541,isotretinoin and Renal papillary necrosis
ATC 5th,21602320,isotretinoin,N,PT,36315599,Creatinine urine decreased,21602320_36315599,isotretinoin and Creatinine urine decreased
ATC 5th,21602320,isotretinoin,N,PT,36315594,Creatinine renal clearance abnormal,21602320_36315594,isotretinoin and Creatinine renal clearance abnormal
ATC 5th,21602320,isotretinoin,N,PT,36313522,Alanine aminotransferase abnormal,21602320_36313522,isotretinoin and Alanine aminotransferase abnormal
ATC 5th,21602320,isotretinoin,N,PT,36313524,Alanine aminotransferase increased,21602320_36313524,isotretinoin and Alanine aminotransferase increased
ATC 5th,21602320,isotretinoin,N,PT,35909522,Biliary cirrhosis,21602320_35909522,isotretinoin and Biliary cirrhosis
ATC 5th,21602320,isotretinoin,N,PT,36313544,Bilirubin conjugated increased,21602320_36313544,isotretinoin and Bilirubin conjugated increased
ATC 5th,21602320,isotretinoin,N,PT,35909527,Hepatic cirrhosis,21602320_35909527,isotretinoin and Hepatic cirrhosis
ATC 5th,21602320,isotretinoin,N,PT,35909611,Hepatic necrosis,21602320_35909611,isotretinoin and Hepatic necrosis
ATC 5th,21602320,isotretinoin,N,PT,35909471,Hepatitis cholestatic,21602320_35909471,isotretinoin and Hepatitis cholestatic
ATC 5th,21602320,isotretinoin,N,PT,35909622,Hepatocellular damage neonatal,21602320_35909622,isotretinoin and Hepatocellular damage neonatal
ATC 5th,21602320,isotretinoin,N,PT,35909624,Hepatocellular injury,21602320_35909624,isotretinoin and Hepatocellular injury
ATC 5th,21602320,isotretinoin,N,PT,36312568,Blood alkaline phosphatase increased,21602320_36312568,isotretinoin and Blood alkaline phosphatase increased
ATC 5th,21602320,isotretinoin,N,PT,36312566,Blood alkaline phosphatase abnormal,21602320_36312566,isotretinoin and Blood alkaline phosphatase abnormal
ATC 5th,21602320,isotretinoin,N,PT,35909628,Mixed liver injury,21602320_35909628,isotretinoin and Mixed liver injury
ATC 5th,21602320,isotretinoin,N,PT,35909503,Liver injury,21602320_35909503,isotretinoin and Liver injury
ATC 5th,21602320,isotretinoin,N,PT,36313543,Bilirubin conjugated abnormal,21602320_36313543,isotretinoin and Bilirubin conjugated abnormal
ATC 5th,21602320,isotretinoin,N,PT,35909606,Cholestatic liver injury,21602320_35909606,isotretinoin and Cholestatic liver injury
ATC 5th,21602320,isotretinoin,N,PT,42889492,Acute yellow liver atrophy,21602320_42889492,isotretinoin and Acute yellow liver atrophy
ATC 5th,21602320,isotretinoin,N,PT,42889495,Drug-induced liver injury,21602320_42889495,isotretinoin and Drug-induced liver injury
ATC 5th,21602320,isotretinoin,N,PT,36009756,Anaphylactic reaction,21602320_36009756,isotretinoin and Anaphylactic reaction
ATC 5th,21602320,isotretinoin,N,PT,36009707,Erythema multiforme,21602320_36009707,isotretinoin and Erythema multiforme
ATC 5th,21602320,isotretinoin,N,PT,36045217,Fixed drug eruption,21602320_36045217,isotretinoin and Fixed drug eruption
ATC 5th,21602320,isotretinoin,N,PT,35607134,Oculomucocutaneous syndrome,21602320_35607134,isotretinoin and Oculomucocutaneous syndrome
ATC 5th,21602320,isotretinoin,N,PT,37320187,Rash papular,21602320_37320187,isotretinoin and Rash papular
ATC 5th,21602320,isotretinoin,N,PT,36009724,Stevens-Johnson syndrome,21602320_36009724,isotretinoin and Stevens-Johnson syndrome
ATC 5th,21602320,isotretinoin,N,PT,36009754,Toxic epidermal necrolysis,21602320_36009754,isotretinoin and Toxic epidermal necrolysis
ATC 5th,21602320,isotretinoin,N,PT,36009755,Toxic skin eruption,21602320_36009755,isotretinoin and Toxic skin eruption
ATC 5th,21602320,isotretinoin,N,PT,36313175,Platelet count abnormal,21602320_36313175,isotretinoin and Platelet count abnormal
ATC 5th,21602320,isotretinoin,N,PT,36313176,Platelet count decreased,21602320_36313176,isotretinoin and Platelet count decreased
ATC 5th,21602320,isotretinoin,N,PT,35104678,Platelet destruction increased,21602320_35104678,isotretinoin and Platelet destruction increased
ATC 5th,21602320,isotretinoin,N,PT,35104679,Platelet disorder,21602320_35104679,isotretinoin and Platelet disorder
ATC 5th,21602320,isotretinoin,N,PT,35104690,Platelet production decreased,21602320_35104690,isotretinoin and Platelet production decreased
ATC 5th,21602320,isotretinoin,N,PT,35104182,Purpura neonatal,21602320_35104182,isotretinoin and Purpura neonatal
ATC 5th,21602320,isotretinoin,N,PT,35104691,Thrombocytopenia,21602320_35104691,isotretinoin and Thrombocytopenia
ATC 5th,21602320,isotretinoin,N,PT,35104692,Thrombocytopenia neonatal,21602320_35104692,isotretinoin and Thrombocytopenia neonatal
ATC 5th,21602320,isotretinoin,N,PT,35104693,Thrombocytopenic purpura,21602320_35104693,isotretinoin and Thrombocytopenic purpura
ATC 5th,21602320,isotretinoin,N,PT,35104688,Heparin-induced thrombocytopenia,21602320_35104688,isotretinoin and Heparin-induced thrombocytopenia
ATC 5th,21602320,isotretinoin,N,PT,42889748,Heparin-induced thrombocytopenia test positive,21602320_42889748,isotretinoin and Heparin-induced thrombocytopenia test positive
ATC 5th,21602320,isotretinoin,N,PT,42888927,Non-immune heparin associated thrombocytopenia,21602320_42888927,isotretinoin and Non-immune heparin associated thrombocytopenia
ATC 5th,21602800,doxycycline,N,PT,36315573,Blood creatinine abnormal,21602800_36315573,doxycycline and Blood creatinine abnormal
ATC 5th,21602800,doxycycline,N,PT,36315575,Blood creatinine increased,21602800_36315575,doxycycline and Blood creatinine increased
ATC 5th,21602800,doxycycline,N,PT,36315595,Creatinine renal clearance decreased,21602800_36315595,doxycycline and Creatinine renal clearance decreased
ATC 5th,21602800,doxycycline,N,PT,36315611,Inulin renal clearance decreased,21602800_36315611,doxycycline and Inulin renal clearance decreased
ATC 5th,21602800,doxycycline,N,PT,37019353,Renal cortical necrosis,21602800_37019353,doxycycline and Renal cortical necrosis
ATC 5th,21602800,doxycycline,N,PT,35506541,Renal papillary necrosis,21602800_35506541,doxycycline and Renal papillary necrosis
ATC 5th,21602800,doxycycline,N,PT,36315599,Creatinine urine decreased,21602800_36315599,doxycycline and Creatinine urine decreased
ATC 5th,21602800,doxycycline,N,PT,36315594,Creatinine renal clearance abnormal,21602800_36315594,doxycycline and Creatinine renal clearance abnormal
ATC 5th,21602800,doxycycline,N,PT,36313522,Alanine aminotransferase abnormal,21602800_36313522,doxycycline and Alanine aminotransferase abnormal
ATC 5th,21602800,doxycycline,N,PT,36313524,Alanine aminotransferase increased,21602800_36313524,doxycycline and Alanine aminotransferase increased
ATC 5th,21602800,doxycycline,N,PT,35909522,Biliary cirrhosis,21602800_35909522,doxycycline and Biliary cirrhosis
ATC 5th,21602800,doxycycline,N,PT,36313544,Bilirubin conjugated increased,21602800_36313544,doxycycline and Bilirubin conjugated increased
ATC 5th,21602800,doxycycline,N,PT,35909527,Hepatic cirrhosis,21602800_35909527,doxycycline and Hepatic cirrhosis
ATC 5th,21602800,doxycycline,N,PT,35909611,Hepatic necrosis,21602800_35909611,doxycycline and Hepatic necrosis
ATC 5th,21602800,doxycycline,N,PT,35909471,Hepatitis cholestatic,21602800_35909471,doxycycline and Hepatitis cholestatic
ATC 5th,21602800,doxycycline,N,PT,35909622,Hepatocellular damage neonatal,21602800_35909622,doxycycline and Hepatocellular damage neonatal
ATC 5th,21602800,doxycycline,N,PT,35909624,Hepatocellular injury,21602800_35909624,doxycycline and Hepatocellular injury
ATC 5th,21602800,doxycycline,N,PT,36312568,Blood alkaline phosphatase increased,21602800_36312568,doxycycline and Blood alkaline phosphatase increased
ATC 5th,21602800,doxycycline,N,PT,36312566,Blood alkaline phosphatase abnormal,21602800_36312566,doxycycline and Blood alkaline phosphatase abnormal
ATC 5th,21602800,doxycycline,N,PT,35909628,Mixed liver injury,21602800_35909628,doxycycline and Mixed liver injury
ATC 5th,21602800,doxycycline,N,PT,35909503,Liver injury,21602800_35909503,doxycycline and Liver injury
ATC 5th,21602800,doxycycline,N,PT,36313543,Bilirubin conjugated abnormal,21602800_36313543,doxycycline and Bilirubin conjugated abnormal
ATC 5th,21602800,doxycycline,N,PT,35909606,Cholestatic liver injury,21602800_35909606,doxycycline and Cholestatic liver injury
ATC 5th,21602800,doxycycline,N,PT,42889492,Acute yellow liver atrophy,21602800_42889492,doxycycline and Acute yellow liver atrophy
ATC 5th,21602800,doxycycline,N,PT,42889495,Drug-induced liver injury,21602800_42889495,doxycycline and Drug-induced liver injury
ATC 5th,21602800,doxycycline,N,PT,36009756,Anaphylactic reaction,21602800_36009756,doxycycline and Anaphylactic reaction
ATC 5th,21602800,doxycycline,N,PT,36919145,Acute psychosis,21602800_36919145,doxycycline and Acute psychosis
ATC 5th,21602800,doxycycline,N,PT,36919053,Affective disorder,21602800_36919053,doxycycline and Affective disorder
ATC 5th,21602800,doxycycline,N,PT,36918968,Delusion,21602800_36918968,doxycycline and Delusion
ATC 5th,21602800,doxycycline,N,PT,36918969,Delusion of grandeur,21602800_36918969,doxycycline and Delusion of grandeur
ATC 5th,21602800,doxycycline,N,PT,36918970,Delusion of reference,21602800_36918970,doxycycline and Delusion of reference
ATC 5th,21602800,doxycycline,N,PT,36918971,Delusion of replacement,21602800_36918971,doxycycline and Delusion of replacement
ATC 5th,21602800,doxycycline,N,PT,36918974,Erotomanic delusion,21602800_36918974,doxycycline and Erotomanic delusion
ATC 5th,21602800,doxycycline,N,PT,36919067,Grandiosity,21602800_36919067,doxycycline and Grandiosity
ATC 5th,21602800,doxycycline,N,PT,36918975,Jealous delusion,21602800_36918975,doxycycline and Jealous delusion
ATC 5th,21602800,doxycycline,N,PT,36919075,Paranoia,21602800_36919075,doxycycline and Paranoia
ATC 5th,21602800,doxycycline,N,PT,36918976,Persecutory delusion,21602800_36918976,doxycycline and Persecutory delusion
ATC 5th,21602800,doxycycline,N,PT,36919154,Schizoaffective disorder,21602800_36919154,doxycycline and Schizoaffective disorder
ATC 5th,21602800,doxycycline,N,PT,36919152,Senile psychosis,21602800_36919152,doxycycline and Senile psychosis
ATC 5th,21602800,doxycycline,N,PT,36919153,Shared psychotic disorder,21602800_36919153,doxycycline and Shared psychotic disorder
ATC 5th,21602800,doxycycline,N,PT,36918977,Somatic delusion,21602800_36918977,doxycycline and Somatic delusion
ATC 5th,21602800,doxycycline,N,PT,36919151,Reactive psychosis,21602800_36919151,doxycycline and Reactive psychosis
ATC 5th,21602800,doxycycline,N,PT,36919136,Transient psychosis,21602800_36919136,doxycycline and Transient psychosis
ATC 5th,21602800,doxycycline,N,PT,36919033,Bipolar disorder,21602800_36919033,doxycycline and Bipolar disorder
ATC 5th,21602800,doxycycline,N,PT,36718514,Epileptic psychosis,21602800_36718514,doxycycline and Epileptic psychosis
ATC 5th,21602800,doxycycline,N,PT,36919146,Childhood psychosis,21602800_36919146,doxycycline and Childhood psychosis
ATC 5th,21602800,doxycycline,N,PT,36919149,Psychotic disorder,21602800_36919149,doxycycline and Psychotic disorder
ATC 5th,21602800,doxycycline,N,PT,36919147,Hysterical psychosis,21602800_36919147,doxycycline and Hysterical psychosis
ATC 5th,21602800,doxycycline,N,PT,36918973,Depressive delusion,21602800_36918973,doxycycline and Depressive delusion
ATC 5th,21602800,doxycycline,N,PT,36211642,Psychosis postoperative,21602800_36211642,doxycycline and Psychosis postoperative
ATC 5th,21602800,doxycycline,N,PT,42890510,Postictal psychosis,21602800_42890510,doxycycline and Postictal psychosis
ATC 5th,21602800,doxycycline,N,PT,36919230,Completed suicide,21602800_36919230,doxycycline and Completed suicide
ATC 5th,21602800,doxycycline,N,PT,36919236,Suicide attempt,21602800_36919236,doxycycline and Suicide attempt
ATC 5th,21602800,doxycycline,N,PT,36313175,Platelet count abnormal,21602800_36313175,doxycycline and Platelet count abnormal
ATC 5th,21602800,doxycycline,N,PT,36313176,Platelet count decreased,21602800_36313176,doxycycline and Platelet count decreased
ATC 5th,21602800,doxycycline,N,PT,35104678,Platelet destruction increased,21602800_35104678,doxycycline and Platelet destruction increased
ATC 5th,21602800,doxycycline,N,PT,35104679,Platelet disorder,21602800_35104679,doxycycline and Platelet disorder
ATC 5th,21602800,doxycycline,N,PT,35104690,Platelet production decreased,21602800_35104690,doxycycline and Platelet production decreased
ATC 5th,21602800,doxycycline,N,PT,35104182,Purpura neonatal,21602800_35104182,doxycycline and Purpura neonatal
ATC 5th,21602800,doxycycline,N,PT,35104691,Thrombocytopenia,21602800_35104691,doxycycline and Thrombocytopenia
ATC 5th,21602800,doxycycline,N,PT,35104692,Thrombocytopenia neonatal,21602800_35104692,doxycycline and Thrombocytopenia neonatal
ATC 5th,21602800,doxycycline,N,PT,35104693,Thrombocytopenic purpura,21602800_35104693,doxycycline and Thrombocytopenic purpura
ATC 5th,21602800,doxycycline,N,PT,35104688,Heparin-induced thrombocytopenia,21602800_35104688,doxycycline and Heparin-induced thrombocytopenia
ATC 5th,21602800,doxycycline,N,PT,42889748,Heparin-induced thrombocytopenia test positive,21602800_42889748,doxycycline and Heparin-induced thrombocytopenia test positive
ATC 5th,21602800,doxycycline,N,PT,42888927,Non-immune heparin associated thrombocytopenia,21602800_42888927,doxycycline and Non-immune heparin associated thrombocytopenia
ATC 5th,21602977,clarithromycin,N,PT,36315573,Blood creatinine abnormal,21602977_36315573,clarithromycin and Blood creatinine abnormal
ATC 5th,21602977,clarithromycin,N,PT,36315575,Blood creatinine increased,21602977_36315575,clarithromycin and Blood creatinine increased
ATC 5th,21602977,clarithromycin,N,PT,36315595,Creatinine renal clearance decreased,21602977_36315595,clarithromycin and Creatinine renal clearance decreased
ATC 5th,21602977,clarithromycin,N,PT,36315611,Inulin renal clearance decreased,21602977_36315611,clarithromycin and Inulin renal clearance decreased
ATC 5th,21602977,clarithromycin,N,PT,37019353,Renal cortical necrosis,21602977_37019353,clarithromycin and Renal cortical necrosis
ATC 5th,21602977,clarithromycin,N,PT,35506541,Renal papillary necrosis,21602977_35506541,clarithromycin and Renal papillary necrosis
ATC 5th,21602977,clarithromycin,N,PT,36315599,Creatinine urine decreased,21602977_36315599,clarithromycin and Creatinine urine decreased
ATC 5th,21602977,clarithromycin,N,PT,36315594,Creatinine renal clearance abnormal,21602977_36315594,clarithromycin and Creatinine renal clearance abnormal
ATC 5th,21602977,clarithromycin,N,PT,36009756,Anaphylactic reaction,21602977_36009756,clarithromycin and Anaphylactic reaction
ATC 5th,21602977,clarithromycin,N,PT,36919145,Acute psychosis,21602977_36919145,clarithromycin and Acute psychosis
ATC 5th,21602977,clarithromycin,N,PT,36919053,Affective disorder,21602977_36919053,clarithromycin and Affective disorder
ATC 5th,21602977,clarithromycin,N,PT,36918968,Delusion,21602977_36918968,clarithromycin and Delusion
ATC 5th,21602977,clarithromycin,N,PT,36918969,Delusion of grandeur,21602977_36918969,clarithromycin and Delusion of grandeur
ATC 5th,21602977,clarithromycin,N,PT,36918970,Delusion of reference,21602977_36918970,clarithromycin and Delusion of reference
ATC 5th,21602977,clarithromycin,N,PT,36918971,Delusion of replacement,21602977_36918971,clarithromycin and Delusion of replacement
ATC 5th,21602977,clarithromycin,N,PT,36918974,Erotomanic delusion,21602977_36918974,clarithromycin and Erotomanic delusion
ATC 5th,21602977,clarithromycin,N,PT,36919067,Grandiosity,21602977_36919067,clarithromycin and Grandiosity
ATC 5th,21602977,clarithromycin,N,PT,36918975,Jealous delusion,21602977_36918975,clarithromycin and Jealous delusion
ATC 5th,21602977,clarithromycin,N,PT,36919075,Paranoia,21602977_36919075,clarithromycin and Paranoia
ATC 5th,21602977,clarithromycin,N,PT,36918976,Persecutory delusion,21602977_36918976,clarithromycin and Persecutory delusion
ATC 5th,21602977,clarithromycin,N,PT,36919154,Schizoaffective disorder,21602977_36919154,clarithromycin and Schizoaffective disorder
ATC 5th,21602977,clarithromycin,N,PT,36919152,Senile psychosis,21602977_36919152,clarithromycin and Senile psychosis
ATC 5th,21602977,clarithromycin,N,PT,36919153,Shared psychotic disorder,21602977_36919153,clarithromycin and Shared psychotic disorder
ATC 5th,21602977,clarithromycin,N,PT,36918977,Somatic delusion,21602977_36918977,clarithromycin and Somatic delusion
ATC 5th,21602977,clarithromycin,N,PT,36919151,Reactive psychosis,21602977_36919151,clarithromycin and Reactive psychosis
ATC 5th,21602977,clarithromycin,N,PT,36919136,Transient psychosis,21602977_36919136,clarithromycin and Transient psychosis
ATC 5th,21602977,clarithromycin,N,PT,36919033,Bipolar disorder,21602977_36919033,clarithromycin and Bipolar disorder
ATC 5th,21602977,clarithromycin,N,PT,36718514,Epileptic psychosis,21602977_36718514,clarithromycin and Epileptic psychosis
ATC 5th,21602977,clarithromycin,N,PT,36919146,Childhood psychosis,21602977_36919146,clarithromycin and Childhood psychosis
ATC 5th,21602977,clarithromycin,N,PT,36919149,Psychotic disorder,21602977_36919149,clarithromycin and Psychotic disorder
ATC 5th,21602977,clarithromycin,N,PT,36919147,Hysterical psychosis,21602977_36919147,clarithromycin and Hysterical psychosis
ATC 5th,21602977,clarithromycin,N,PT,36918973,Depressive delusion,21602977_36918973,clarithromycin and Depressive delusion
ATC 5th,21602977,clarithromycin,N,PT,36211642,Psychosis postoperative,21602977_36211642,clarithromycin and Psychosis postoperative
ATC 5th,21602977,clarithromycin,N,PT,42890510,Postictal psychosis,21602977_42890510,clarithromycin and Postictal psychosis
ATC 5th,21602977,clarithromycin,N,PT,36919230,Completed suicide,21602977_36919230,clarithromycin and Completed suicide
ATC 5th,21602977,clarithromycin,N,PT,36919236,Suicide attempt,21602977_36919236,clarithromycin and Suicide attempt
ATC 5th,21603103,isoniazid,N,PT,36315573,Blood creatinine abnormal,21603103_36315573,isoniazid and Blood creatinine abnormal
ATC 5th,21603103,isoniazid,N,PT,36315575,Blood creatinine increased,21603103_36315575,isoniazid and Blood creatinine increased
ATC 5th,21603103,isoniazid,N,PT,36315595,Creatinine renal clearance decreased,21603103_36315595,isoniazid and Creatinine renal clearance decreased
ATC 5th,21603103,isoniazid,N,PT,36315611,Inulin renal clearance decreased,21603103_36315611,isoniazid and Inulin renal clearance decreased
ATC 5th,21603103,isoniazid,N,PT,37019353,Renal cortical necrosis,21603103_37019353,isoniazid and Renal cortical necrosis
ATC 5th,21603103,isoniazid,N,PT,35506541,Renal papillary necrosis,21603103_35506541,isoniazid and Renal papillary necrosis
ATC 5th,21603103,isoniazid,N,PT,36315599,Creatinine urine decreased,21603103_36315599,isoniazid and Creatinine urine decreased
ATC 5th,21603103,isoniazid,N,PT,36315594,Creatinine renal clearance abnormal,21603103_36315594,isoniazid and Creatinine renal clearance abnormal
ATC 5th,21603103,isoniazid,N,PT,36009756,Anaphylactic reaction,21603103_36009756,isoniazid and Anaphylactic reaction
ATC 5th,21603103,isoniazid,N,PT,36919145,Acute psychosis,21603103_36919145,isoniazid and Acute psychosis
ATC 5th,21603103,isoniazid,N,PT,36919053,Affective disorder,21603103_36919053,isoniazid and Affective disorder
ATC 5th,21603103,isoniazid,N,PT,36918968,Delusion,21603103_36918968,isoniazid and Delusion
ATC 5th,21603103,isoniazid,N,PT,36918969,Delusion of grandeur,21603103_36918969,isoniazid and Delusion of grandeur
ATC 5th,21603103,isoniazid,N,PT,36918970,Delusion of reference,21603103_36918970,isoniazid and Delusion of reference
ATC 5th,21603103,isoniazid,N,PT,36918971,Delusion of replacement,21603103_36918971,isoniazid and Delusion of replacement
ATC 5th,21603103,isoniazid,N,PT,36918974,Erotomanic delusion,21603103_36918974,isoniazid and Erotomanic delusion
ATC 5th,21603103,isoniazid,N,PT,36919067,Grandiosity,21603103_36919067,isoniazid and Grandiosity
ATC 5th,21603103,isoniazid,N,PT,36918975,Jealous delusion,21603103_36918975,isoniazid and Jealous delusion
ATC 5th,21603103,isoniazid,N,PT,36919075,Paranoia,21603103_36919075,isoniazid and Paranoia
ATC 5th,21603103,isoniazid,N,PT,36918976,Persecutory delusion,21603103_36918976,isoniazid and Persecutory delusion
ATC 5th,21603103,isoniazid,N,PT,36919154,Schizoaffective disorder,21603103_36919154,isoniazid and Schizoaffective disorder
ATC 5th,21603103,isoniazid,N,PT,36919152,Senile psychosis,21603103_36919152,isoniazid and Senile psychosis
ATC 5th,21603103,isoniazid,N,PT,36919153,Shared psychotic disorder,21603103_36919153,isoniazid and Shared psychotic disorder
ATC 5th,21603103,isoniazid,N,PT,36918977,Somatic delusion,21603103_36918977,isoniazid and Somatic delusion
ATC 5th,21603103,isoniazid,N,PT,36919151,Reactive psychosis,21603103_36919151,isoniazid and Reactive psychosis
ATC 5th,21603103,isoniazid,N,PT,36919136,Transient psychosis,21603103_36919136,isoniazid and Transient psychosis
ATC 5th,21603103,isoniazid,N,PT,36919033,Bipolar disorder,21603103_36919033,isoniazid and Bipolar disorder
ATC 5th,21603103,isoniazid,N,PT,36718514,Epileptic psychosis,21603103_36718514,isoniazid and Epileptic psychosis
ATC 5th,21603103,isoniazid,N,PT,36919146,Childhood psychosis,21603103_36919146,isoniazid and Childhood psychosis
ATC 5th,21603103,isoniazid,N,PT,36919149,Psychotic disorder,21603103_36919149,isoniazid and Psychotic disorder
ATC 5th,21603103,isoniazid,N,PT,36919147,Hysterical psychosis,21603103_36919147,isoniazid and Hysterical psychosis
ATC 5th,21603103,isoniazid,N,PT,36918973,Depressive delusion,21603103_36918973,isoniazid and Depressive delusion
ATC 5th,21603103,isoniazid,N,PT,36211642,Psychosis postoperative,21603103_36211642,isoniazid and Psychosis postoperative
ATC 5th,21603103,isoniazid,N,PT,42890510,Postictal psychosis,21603103_42890510,isoniazid and Postictal psychosis
ATC 5th,21603103,isoniazid,N,PT,36919230,Completed suicide,21603103_36919230,isoniazid and Completed suicide
ATC 5th,21603103,isoniazid,N,PT,36919236,Suicide attempt,21603103_36919236,isoniazid and Suicide attempt
ATC 5th,21603103,isoniazid,N,PT,36313175,Platelet count abnormal,21603103_36313175,isoniazid and Platelet count abnormal
ATC 5th,21603103,isoniazid,N,PT,36313176,Platelet count decreased,21603103_36313176,isoniazid and Platelet count decreased
ATC 5th,21603103,isoniazid,N,PT,35104678,Platelet destruction increased,21603103_35104678,isoniazid and Platelet destruction increased
ATC 5th,21603103,isoniazid,N,PT,35104679,Platelet disorder,21603103_35104679,isoniazid and Platelet disorder
ATC 5th,21603103,isoniazid,N,PT,35104690,Platelet production decreased,21603103_35104690,isoniazid and Platelet production decreased
ATC 5th,21603103,isoniazid,N,PT,35104182,Purpura neonatal,21603103_35104182,isoniazid and Purpura neonatal
ATC 5th,21603103,isoniazid,N,PT,35104691,Thrombocytopenia,21603103_35104691,isoniazid and Thrombocytopenia
ATC 5th,21603103,isoniazid,N,PT,35104692,Thrombocytopenia neonatal,21603103_35104692,isoniazid and Thrombocytopenia neonatal
ATC 5th,21603103,isoniazid,N,PT,35104693,Thrombocytopenic purpura,21603103_35104693,isoniazid and Thrombocytopenic purpura
ATC 5th,21603103,isoniazid,N,PT,35104688,Heparin-induced thrombocytopenia,21603103_35104688,isoniazid and Heparin-induced thrombocytopenia
